"id","created_at","updated_at","generation_level","amount","percentage","referral_pool","status","ppv","tv","tier","qualification_reason","tx_amount","rpr","calculated_at","buyer_id","purchase_id","user_id","is_sponsor_earning","sponsor_withhold_amount","referral_system_type","earning_type"
200,2025-11-07 01:28:58.290 +0300,2025-11-07 01:28:58.290 +0300,2,3.894736,0.0250,46.736842,PENDING,,,,mlm_upline_l2_qualified,148.000000,0.3000,2025-11-07 01:28:58.283 +0300,2503,663,13,false,,3,NETWORK
201,2025-11-07 01:28:58.380 +0300,2025-11-07 01:28:58.380 +0300,8,2.368421,0.0250,28.421053,PENDING,,,,mlm_upline_l8_qualified,90.000000,0.3000,2025-11-07 01:28:58.372 +0300,15292,664,13,false,,3,NETWORK
202,2025-11-07 01:28:58.470 +0300,2025-11-07 01:28:58.470 +0300,6,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l6_qualified,15.000000,0.3000,2025-11-07 01:28:58.462 +0300,2884,665,13,false,,3,NETWORK
203,2025-11-07 01:28:58.552 +0300,2025-11-07 01:28:58.552 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:28:58.545 +0300,2885,666,13,false,,3,NETWORK
204,2025-11-07 01:28:58.642 +0300,2025-11-07 01:28:58.642 +0300,7,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l7_qualified,15.000000,0.3000,2025-11-07 01:28:58.592 +0300,15126,667,13,false,,3,NETWORK
205,2025-11-07 01:28:58.696 +0300,2025-11-07 01:28:58.696 +0300,8,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l8_qualified,15.000000,0.3000,2025-11-07 01:28:58.689 +0300,15125,668,13,false,,3,NETWORK
206,2025-11-07 01:28:58.878 +0300,2025-11-07 01:28:58.878 +0300,1,22.105263,0.2000,33.157895,PENDING,,,,sponsor_rate_0.2500,105.000000,0.3000,2025-11-07 01:28:58.846 +0300,15408,671,1964,true,5.526316,3,NETWORK
207,2025-11-07 01:28:58.983 +0300,2025-11-07 01:28:58.983 +0300,3,3.947368,0.0250,47.368421,PENDING,,,,mlm_upline_l3_qualified,150.000000,0.3000,2025-11-07 01:28:58.977 +0300,3777,674,13,false,,3,NETWORK
208,2025-11-07 01:28:59.146 +0300,2025-11-07 01:28:59.146 +0300,1,2.368421,0.1500,4.736842,PENDING,,,,kol_bonus,15.000000,0.3000,2025-11-07 01:28:59.080 +0300,3469,676,2248,false,,3,NETWORK
209,2025-11-07 01:28:59.146 +0300,2025-11-07 01:28:59.146 +0300,2,1.263157,0.0800,4.736842,PENDING,,,,sponsor_rate_0.1000,15.000000,0.3000,2025-11-07 01:28:59.083 +0300,3469,676,313,true,0.315789,3,NETWORK
210,2025-11-07 01:28:59.352 +0300,2025-11-07 01:28:59.352 +0300,1,13.421052,0.1500,26.842105,PENDING,,,,kol_bonus,85.000000,0.3000,2025-11-07 01:28:59.280 +0300,3469,681,2248,false,,3,NETWORK
211,2025-11-07 01:28:59.352 +0300,2025-11-07 01:28:59.352 +0300,2,7.157894,0.0800,26.842105,PENDING,,,,sponsor_rate_0.1000,85.000000,0.3000,2025-11-07 01:28:59.283 +0300,3469,681,313,true,1.789474,3,NETWORK
212,2025-11-07 01:28:59.555 +0300,2025-11-07 01:28:59.555 +0300,2,1.315789,0.0250,15.789474,PENDING,,,,mlm_upline_l2_qualified,50.000000,0.3000,2025-11-07 01:28:59.548 +0300,12892,684,13,false,,3,NETWORK
213,2025-11-07 01:28:59.597 +0300,2025-11-07 01:28:59.597 +0300,6,0.421052,0.0250,5.052632,PENDING,,,,mlm_upline_l6_qualified,16.000000,0.3000,2025-11-07 01:28:59.590 +0300,10124,685,13,false,,3,NETWORK
214,2025-11-07 01:28:59.854 +0300,2025-11-07 01:28:59.854 +0300,6,1.210526,0.0250,14.526316,PENDING,,,,mlm_upline_l6_qualified,46.000000,0.3000,2025-11-07 01:28:59.848 +0300,10124,688,13,false,,3,NETWORK
215,2025-11-07 01:28:59.887 +0300,2025-11-07 01:28:59.887 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:59.880 +0300,16663,689,13,false,,3,NETWORK
216,2025-11-07 01:28:59.981 +0300,2025-11-07 01:28:59.981 +0300,10,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l10_qualified,15.000000,0.3000,2025-11-07 01:28:59.979 +0300,16671,690,13,false,,3,NETWORK
217,2025-11-07 01:29:00.066 +0300,2025-11-07 01:29:00.066 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:29:00.056 +0300,16712,691,13,false,,3,NETWORK
218,2025-11-07 01:29:00.147 +0300,2025-11-07 01:29:00.147 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:29:00.100 +0300,4969,692,13,false,,3,NETWORK
219,2025-11-07 01:29:00.183 +0300,2025-11-07 01:29:00.183 +0300,4,0.789473,0.0250,9.473684,PENDING,,,,mlm_upline_l4_qualified,30.000000,0.3000,2025-11-07 01:29:00.176 +0300,16721,693,13,false,,3,NETWORK
